High Level Relay Cat,Specific Ind,drug_class_name,drug_group_name,indication,High Level Relay Cat
"vascular diseases|central nervous system diseases|delirium, dementia, amnestic, cognitive disorders","Dementia, Vascular",Other Alzheimers Disease Agents,Alzheimer's Disease,Dementia,"vascular diseases|central nervous system diseases|delirium, dementia, amnestic, cognitive disorders"
autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases,"Demyelinating Autoimmune Diseases, CNS",,,,autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases
demyelinating diseases,Demyelinating Diseases,,,,demyelinating diseases
arbovirus infections|rna virus infections,Dengue,,,,arbovirus infections|rna virus infections
tooth diseases,Dental Caries,,,,tooth diseases
tooth diseases,Dentin Sensitivity,,,,tooth diseases
mood disorders,Depressive Disorder,Other Anti-depressants,Depression,Depression,mood disorders
mood disorders,"Depressive Disorder, Major",Other Anti-depressants,Depression,Depression,mood disorders
skin diseases,Dermatitis,Other Dermatology Products,Other Dermatology Disorders,Dermal scarring,skin diseases
"skin diseases|genetic diseases, inborn|hypersensitivity","Dermatitis, Atopic",Other Dermatology Products,Other Dermatology Disorders,Dermal scarring,"skin diseases|genetic diseases, inborn|hypersensitivity"
skin diseases,"Dermatitis, Exfoliative",Other Dermatology Products,Other Dermatology Disorders,Dermal scarring,skin diseases
neoplasms by histologic type|connective tissue diseases,Dermatofibrosarcoma,Other Dermatology Products,Other Dermatology Disorders,Dermal scarring,neoplasms by histologic type|connective tissue diseases
infection|mycoses|skin diseases,Dermatomycoses,Other Dermatology Products,Other Dermatology Disorders,Dermal scarring,infection|mycoses|skin diseases
connective tissue diseases|muscular diseases|neuromuscular diseases|skin diseases,Dermatomyositis,Other Dermatology Products,Other Dermatology Disorders,Dermal scarring,connective tissue diseases|muscular diseases|neuromuscular diseases|skin diseases
neoplasms by histologic type,Desmoplastic Small Round Cell Tumor,,,,neoplasms by histologic type
diabetes mellitus,Diabetes Complications,Other Diabetes Agents,Diabetes,Diabetic Complications,diabetes mellitus
diabetes mellitus|metabolic diseases,Diabetes Mellitus,Other Diabetes Agents,Diabetes,Diabetes,diabetes mellitus|metabolic diseases
autoimmune diseases|diabetes mellitus|metabolic diseases,"Diabetes Mellitus, Type 1",Other Diabetes Agents,Diabetes,Diabetes,autoimmune diseases|diabetes mellitus|metabolic diseases
diabetes mellitus|metabolic diseases,"Diabetes Mellitus, Type 2",Other Diabetes Agents,Diabetes,Diabetes,diabetes mellitus|metabolic diseases
diabetes mellitus|vascular diseases,Diabetic Angiopathies,Other Diabetes Agents,Diabetes,Diabetic Complications,diabetes mellitus|vascular diseases
diabetes mellitus|vascular diseases|skin diseases|neuromuscular diseases,Diabetic Foot,Other Diabetes Agents,Diabetes,Diabetic Neuropathy,diabetes mellitus|vascular diseases|skin diseases|neuromuscular diseases
diabetes mellitus|urologic diseases|female urogenital diseases,Diabetic Nephropathies,Other Diabetes Agents,Diabetes,Diabetic Neuropathy,diabetes mellitus|urologic diseases|female urogenital diseases
diabetes mellitus|neuromuscular diseases,Diabetic Neuropathies,Other Diabetes Agents,Diabetes,Diabetic Neuropathy,diabetes mellitus|neuromuscular diseases
diabetes mellitus|vascular diseases|retinal diseases,Diabetic Retinopathy,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Diabetic Macular Edema,diabetes mellitus|vascular diseases|retinal diseases
signs and symptoms,Diarrhea,Bowel Dysfunction Treatments,Motility Disorders,Diarrhea,signs and symptoms
"musculoskeletal abnormalities|cardiovascular abnormalities|heart diseases|lymphatic diseases|congenital abnormalities|genetic diseases, inborn|parathyroid diseases",DiGeorge Syndrome,,,,"musculoskeletal abnormalities|cardiovascular abnormalities|heart diseases|lymphatic diseases|congenital abnormalities|genetic diseases, inborn|parathyroid diseases"
congenital abnormalities|digestive system abnormalities,Digestive System Abnormalities,,,,congenital abnormalities|digestive system abnormalities
pathologic processes,Disease Attributes,,,,pathologic processes
pathologic processes,Disease Progression,,,,pathologic processes
congenital abnormalities|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders,Disorders of Sex Development,,,,congenital abnormalities|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders
metabolic diseases,DNA Repair-Deficiency Disorders,,,,metabolic diseases
dna virus infections,DNA Virus Infections,,,,dna virus infections
hypersensitivity,Drug Hypersensitivity,,,,hypersensitivity
drug overdose|poisoning,Drug Overdose,,,,drug overdose|poisoning
poisoning,Drug Toxicity,,,,poisoning
lacrimal apparatus diseases,Dry Eye Syndromes,Dry AMD Treatments,AMD,Dry AMD,lacrimal apparatus diseases
gastrointestinal diseases,Duodenal Ulcer,,,,gastrointestinal diseases
"bone diseases|dwarfism|genetic diseases, inborn",Dwarfism,,,,"bone diseases|dwarfism|genetic diseases, inborn"
"bone diseases|bone diseases, endocrine|central nervous system diseases|dwarfism|pituitary diseases","Dwarfism, Pituitary",,,,"bone diseases|bone diseases, endocrine|central nervous system diseases|dwarfism|pituitary diseases"
central nervous system diseases|neurologic manifestations|signs and symptoms,Dyskinesias,,,,central nervous system diseases|neurologic manifestations|signs and symptoms
metabolic diseases,Dyslipidemias,Other Lipid-modifying Agents,Lipid Disorders,Dyslipidemia,metabolic diseases
signs and symptoms,Dyspepsia,,,,signs and symptoms
laryngeal diseases|neurologic manifestations|signs and symptoms,Dysphonia,,,,laryngeal diseases|neurologic manifestations|signs and symptoms
respiration disorders|signs and symptoms,Dyspnea,,,,respiration disorders|signs and symptoms
sleep disorders,Dyssomnias,,,,sleep disorders
central nervous system diseases|neurologic manifestations|signs and symptoms,Dystonia,,,,central nervous system diseases|neurologic manifestations|signs and symptoms
central nervous system diseases,Dystonic Disorders,,,,central nervous system diseases
eating disorders,Eating Disorders,,,,eating disorders
hematologic diseases|pathologic processes|signs and symptoms,Ecchymosis,,,,hematologic diseases|pathologic processes|signs and symptoms
"congenital abnormalities|genetic diseases, inborn|skin diseases",Ectodermal Dysplasia,,,,"congenital abnormalities|genetic diseases, inborn|skin diseases"
"skin diseases, parasitic",Ectoparasitic Infestations,,,,"skin diseases, parasitic"
skin diseases,Eczema,Topical Immunomodulators,Atopic Dermatitis,Eczema and psoriasis,skin diseases
signs and symptoms,Edema,,,,signs and symptoms
helminthiasis|lymphatic diseases,"Elephantiasis, Filarial",,,,helminthiasis|lymphatic diseases
signs and symptoms,Emaciation,,,,signs and symptoms
vascular diseases,Embolism and Thrombosis,Other Supportive Care,Other Supportive Care,Essential Thrombocythemia ,vascular diseases
pathologic processes,Emergencies,,,,pathologic processes
infection|pathologic processes,Empyema,,,,infection|pathologic processes
infection|pathologic processes|pleural diseases|respiratory tract infections,"Empyema, Pleural",,,,infection|pathologic processes|pleural diseases|respiratory tract infections
central nervous system diseases|central nervous system infections|central nervous system viral diseases,Encephalitis,,,,central nervous system diseases|central nervous system infections|central nervous system viral diseases
"central nervous system infections|central nervous system viral diseases|central nervous system diseases|encephalitis, viral","Encephalitis, Viral",,,,"central nervous system infections|central nervous system viral diseases|central nervous system diseases|encephalitis, viral"
central nervous system diseases|central nervous system infections|central nervous system viral diseases,Encephalomyelitis,,,,central nervous system diseases|central nervous system infections|central nervous system viral diseases
"rna virus infections|arbovirus infections|central nervous system infections|central nervous system viral diseases|central nervous system diseases|encephalitis, viral","Encephalomyelitis, Equine",,,,"rna virus infections|arbovirus infections|central nervous system infections|central nervous system viral diseases|central nervous system diseases|encephalitis, viral"
"rna virus infections|arbovirus infections|central nervous system infections|central nervous system viral diseases|central nervous system diseases|encephalitis, viral","Encephalomyelitis, Venezuelan Equine",,,,"rna virus infections|arbovirus infections|central nervous system infections|central nervous system viral diseases|central nervous system diseases|encephalitis, viral"
liver diseases,End Stage Liver Disease,,,,liver diseases
endocrine gland neoplasms|neoplasms by site,Endocrine Gland Neoplasms,,,,endocrine gland neoplasms|neoplasms by site
ear diseases,Endolymphatic Hydrops,,,,ear diseases
neoplasms by site|female urogenital diseases|urogenital neoplasms,Endometrial Neoplasms,,,,neoplasms by site|female urogenital diseases|urogenital neoplasms
female urogenital diseases,Endometriosis,,,,female urogenital diseases
bacterial infections,Enterobacteriaceae Infections,,,,bacterial infections
gastrointestinal diseases,Enterocolitis,,,,gastrointestinal diseases
gastrointestinal diseases,"Enterocolitis, Necrotizing",,,,gastrointestinal diseases
rna virus infections,Enterovirus Infections,,,,rna virus infections
hematologic diseases,Eosinophilia,,,,hematologic diseases
hematologic diseases|gastrointestinal diseases|hypersensitivity,Eosinophilic Esophagitis,,,,hematologic diseases|gastrointestinal diseases|hypersensitivity
neoplasms by histologic type,Ependymoma,,,,neoplasms by histologic type
"congenital abnormalities|genetic diseases, inborn|skin diseases",Epidermolysis Bullosa,,,,"congenital abnormalities|genetic diseases, inborn|skin diseases"
"connective tissue diseases|congenital abnormalities|genetic diseases, inborn|skin diseases",Epidermolysis Bullosa Dystrophica,,,,"connective tissue diseases|congenital abnormalities|genetic diseases, inborn|skin diseases"
central nervous system diseases,"Epilepsies, Partial",Anti-convulsants,Epilepsy,Epilepsy,central nervous system diseases
central nervous system diseases,Epilepsy,Anti-convulsants,Epilepsy,Epilepsy,central nervous system diseases
central nervous system diseases,"Epilepsy, Generalized",Anti-convulsants,Epilepsy,Epilepsy,central nervous system diseases
central nervous system diseases,"Epilepsy, Temporal Lobe",Anti-convulsants,Epilepsy,Epilepsy,central nervous system diseases
"dna virus infections|tumor virus infections|neoplasms, experimental",Epstein-Barr Virus Infections,,,,"dna virus infections|tumor virus infections|neoplasms, experimental"
bacterial infections|infection|skin diseases,Erysipelas,,,,bacterial infections|infection|skin diseases
skin diseases,Erythema,,,,skin diseases
skin diseases,Erythema Multiforme,,,,skin diseases
vascular diseases,Erythromelalgia,,,,vascular diseases
bacterial infections,Escherichia coli Infections,,,,bacterial infections
gastrointestinal diseases,Esophageal Diseases,,,,gastrointestinal diseases
digestive system neoplasms|gastrointestinal diseases|neoplasms by site,Esophageal Neoplasms,,,,digestive system neoplasms|gastrointestinal diseases|neoplasms by site
gastrointestinal diseases,Esophagitis,,,,gastrointestinal diseases
central nervous system diseases,Essential Tremor,,,,central nervous system diseases
cranial nerve diseases|neoplasms by histologic type,"Esthesioneuroblastoma, Olfactory",,,,cranial nerve diseases|neoplasms by histologic type
orbital diseases,Exophthalmos,,,,orbital diseases
burns|craniocerebral trauma|eye injuries,Eye Burns,,,,burns|craniocerebral trauma|eye injuries
"eye diseases, hereditary|genetic diseases, inborn","Eye Diseases, Hereditary",,,,"eye diseases, hereditary|genetic diseases, inborn"
eye infections|infection,Eye Infections,,,,eye infections|infection
bacterial infections|eye infections|infection,"Eye Infections, Bacterial",,,,bacterial infections|eye infections|infection
"eye infections|eye infections, viral","Eye Infections, Viral",,,,"eye infections|eye infections, viral"
craniocerebral trauma|eye injuries,Eye Injuries,,,,craniocerebral trauma|eye injuries
eye neoplasms|neoplasms by site,Eye Neoplasms,,,,eye neoplasms|neoplasms by site
eyelid diseases,Eyelid Diseases,,,,eyelid diseases
"central nervous system diseases|metabolic diseases|genetic diseases, inborn|vascular diseases",Fabry Disease,Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Fabry Disease,"central nervous system diseases|metabolic diseases|genetic diseases, inborn|vascular diseases"
skin diseases,Facial Dermatoses,,,,skin diseases
craniocerebral trauma,Facial Injuries,,,,craniocerebral trauma
female urogenital diseases,Fallopian Tube Diseases,,,,female urogenital diseases
female urogenital diseases|neoplasms by site|urogenital neoplasms,Fallopian Tube Neoplasms,,,,female urogenital diseases|neoplasms by site|urogenital neoplasms
"genetic diseases, inborn|skin diseases",Familial Mediterranean Fever,,,,"genetic diseases, inborn|skin diseases"
fasciitis,Fasciitis,,,,fasciitis
fasciitis|foot diseases,"Fasciitis, Plantar",,,,fasciitis|foot diseases
signs and symptoms,Fatigue,,,,signs and symptoms
liver diseases,Fatty Liver,,,,liver diseases
alcohol-related disorders|liver diseases,"Fatty Liver, Alcoholic",,,,alcohol-related disorders|liver diseases
neoplasms by histologic type|connective tissue diseases,Fibroma,,,,neoplasms by histologic type|connective tissue diseases
neoplasms by histologic type|connective tissue diseases,"Fibromatosis, Aggressive",,,,neoplasms by histologic type|connective tissue diseases
muscular diseases|rheumatic diseases|neuromuscular diseases,Fibromyalgia,,,,muscular diseases|rheumatic diseases|neuromuscular diseases
neoplasms by histologic type|connective tissue diseases,Fibrosarcoma,,,,neoplasms by histologic type|connective tissue diseases
pathologic processes,Fibrosis,,,,pathologic processes
helminthiasis,Filariasis,,,,helminthiasis
rna virus infections,Flaviviridae Infections,,,,rna virus infections
rna virus infections,Flavivirus Infections,,,,rna virus infections
skin diseases|foot diseases,Foot Dermatoses,,,,skin diseases|foot diseases
foot diseases|skin diseases,Foot Ulcer,,,,foot diseases|skin diseases
"congenital abnormalities|genetic diseases, inborn|neurologic manifestations|neurodegenerative diseases|signs and symptoms|mental disorders diagnosed in childhood",Fragile X Syndrome,,,,"congenital abnormalities|genetic diseases, inborn|neurologic manifestations|neurodegenerative diseases|signs and symptoms|mental disorders diagnosed in childhood"
infection|mycoses|pathologic processes,Fungemia,Other Anti-fungals,Fungal Infection,fungal infection,infection|mycoses|pathologic processes
biliary tract diseases,Gallbladder Diseases,,,,biliary tract diseases
biliary tract diseases|neoplasms by site|digestive system neoplasms,Gallbladder Neoplasms,,,,biliary tract diseases|neoplasms by site|digestive system neoplasms
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms,Gastrinoma,Other Targeted Biologics,Biologics,Gastric Cancer,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
gastrointestinal diseases,Gastritis,Other GERD/PUD Agents,GERD/PUD,Gastritis,gastrointestinal diseases
gastrointestinal diseases,"Gastritis, Atrophic",Other GERD/PUD Agents,GERD/PUD,Gastritis,gastrointestinal diseases
gastrointestinal diseases,Gastroenteritis,Other GERD/PUD Agents,GERD/PUD,Gastritis,gastrointestinal diseases
digestive system neoplasms|gastrointestinal diseases|neoplasms by site,Gastrointestinal Neoplasms,Other Targeted Biologics,Biologics,Gastric Cancer,digestive system neoplasms|gastrointestinal diseases|neoplasms by site
digestive system neoplasms|gastrointestinal diseases|neoplasms by site|neoplasms by histologic type|connective tissue diseases,Gastrointestinal Stromal Tumors,Other Targeted Biologics,Biologics,Gastric Cancer,digestive system neoplasms|gastrointestinal diseases|neoplasms by site|neoplasms by histologic type|connective tissue diseases
gastrointestinal diseases|signs and symptoms|neurologic manifestations,Gastroparesis,Bowel Dysfunction Treatments,Motility Disorders,Gastroparesis,gastrointestinal diseases|signs and symptoms|neurologic manifestations
"central nervous system diseases|metabolic diseases|genetic diseases, inborn",Gaucher Disease,Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Gaucher's Disease,"central nervous system diseases|metabolic diseases|genetic diseases, inborn"
"genetic diseases, inborn","Genetic Diseases, X-Linked",,,,"genetic diseases, inborn"
female urogenital diseases,"Genital Diseases, Female",,,,female urogenital diseases
female urogenital diseases|neoplasms by site|urogenital neoplasms,"Genital Neoplasms, Female",,,,female urogenital diseases|neoplasms by site|urogenital neoplasms
"genital diseases, male|neoplasms by site|urogenital neoplasms","Genital Neoplasms, Male",,,,"genital diseases, male|neoplasms by site|urogenital neoplasms"
retinal diseases,Geographic Atrophy,,,,retinal diseases
neoplasms by histologic type,Germinoma,,,,neoplasms by histologic type
ocular hypertension,Glaucoma,Glaucoma Treatments,Glaucoma,Glaucoma ,ocular hypertension
ocular hypertension,"Glaucoma, Angle-Closure",Glaucoma Treatments,Glaucoma,Glaucoma ,ocular hypertension
ocular hypertension,"Glaucoma, Open-Angle",Glaucoma Treatments,Glaucoma,Glaucoma ,ocular hypertension
neoplasms by histologic type,Glioblastoma,Immunomodulators - Oncology (Biologics),Biologics,Glioblastome Multiforme,neoplasms by histologic type
neoplasms by histologic type,Glioma,Alkylating Agents,Cytotoxics,Glioma,neoplasms by histologic type
neoplasms by histologic type,Gliosarcoma,,,,neoplasms by histologic type
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms,Glucagonoma,,,,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
metabolic diseases,Glucose Metabolism Disorders,,,,metabolic diseases
thyroid diseases,Goiter,,,,thyroid diseases
gonadal disorders,Gonadal Disorders,,,,gonadal disorders
congenital abnormalities|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders,Gonadal Dysgenesis,,,,congenital abnormalities|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders
"joint diseases|genetic diseases, inborn|rheumatic diseases|metabolic diseases",Gout,,,,"joint diseases|genetic diseases, inborn|rheumatic diseases|metabolic diseases"
graft vs host disease,Graft vs Host Disease,,,,graft vs host disease
bacterial infections,Gram-Negative Bacterial Infections,,,,bacterial infections
bacterial infections,Gram-Positive Bacterial Infections,,,,bacterial infections
lymphatic diseases|pathologic processes|immunoproliferative disorders,Granuloma,,,,lymphatic diseases|pathologic processes|immunoproliferative disorders
"genetic diseases, inborn|hematologic diseases|immunologic deficiency syndromes","Granulomatous Disease, Chronic",,,,"genetic diseases, inborn|hematologic diseases|immunologic deficiency syndromes"
autoimmune diseases|orbital diseases|thyroid diseases,Graves Disease,,,,autoimmune diseases|orbital diseases|thyroid diseases
"autoimmune diseases|orbital diseases|eye diseases, hereditary|thyroid diseases",Graves Ophthalmopathy,,,,"autoimmune diseases|orbital diseases|eye diseases, hereditary|thyroid diseases"
skin diseases,Hair Diseases,,,,skin diseases
rna virus infections,"Hand, Foot and Mouth Disease",,,,rna virus infections
rna virus infections,Hantavirus Infections,,,,rna virus infections
neoplasms by site,Head and Neck Neoplasms,Other Cytotoxics,Cytotoxics,Head & Neck Cancer,neoplasms by site
neurologic manifestations|signs and symptoms,Headache,,,,neurologic manifestations|signs and symptoms
central nervous system diseases,Headache Disorders,,,,central nervous system diseases
central nervous system diseases,"Headache Disorders, Primary",,,,central nervous system diseases
ear diseases|neurologic manifestations|signs and symptoms,Hearing Disorders,,,,ear diseases|neurologic manifestations|signs and symptoms
ear diseases|neurologic manifestations|signs and symptoms,Hearing Loss,,,,ear diseases|neurologic manifestations|signs and symptoms
ear diseases|neurologic manifestations|signs and symptoms,"Hearing Loss, Noise-Induced",,,,ear diseases|neurologic manifestations|signs and symptoms
ear diseases|neurologic manifestations|signs and symptoms,"Hearing Loss, Sensorineural",,,,ear diseases|neurologic manifestations|signs and symptoms
heart diseases|pathologic processes,Heart Block,,,,heart diseases|pathologic processes
cardiovascular abnormalities|congenital abnormalities|heart diseases,"Heart Defects, Congenital",,,,cardiovascular abnormalities|congenital abnormalities|heart diseases
heart diseases,Heart Failure,Other Cardiology Agents,Other Cardiovascular Disorders,Heart Failure,heart diseases
heart diseases,"Heart Failure, Systolic",Other Cardiology Agents,Other Cardiovascular Disorders,Heart Failure,heart diseases
heart diseases|neoplasms by site,Heart Neoplasms,,,,heart diseases|neoplasms by site
cardiovascular abnormalities|congenital abnormalities|heart diseases,Heart Septal Defects,,,,cardiovascular abnormalities|congenital abnormalities|heart diseases
cardiovascular abnormalities|congenital abnormalities|heart diseases,"Heart Septal Defects, Ventricular",,,,cardiovascular abnormalities|congenital abnormalities|heart diseases
helminthiasis,Helminthiasis,,,,helminthiasis
neoplasms by histologic type,Hemangioendothelioma,,,,neoplasms by histologic type
neoplasms by histologic type,"Hemangioendothelioma, Epithelioid",,,,neoplasms by histologic type
neoplasms by histologic type,Hemangioma,,,,neoplasms by histologic type
neoplasms by histologic type,Hemangiopericytoma,,,,neoplasms by histologic type
hematologic diseases|neoplasms by site,Hematologic Neoplasms,Other Targeted Small Molecules,Targeted Small Molecules,Hematological tumors,hematologic diseases|neoplasms by site
pathologic processes,Hematoma,,,,pathologic processes
"central nervous system diseases|vascular diseases|craniocerebral trauma|pathologic processes|trauma, nervous system","Hematoma, Subdural",,,,"central nervous system diseases|vascular diseases|craniocerebral trauma|pathologic processes|trauma, nervous system"
"central nervous system diseases|vascular diseases|craniocerebral trauma|pathologic processes|trauma, nervous system","Hematoma, Subdural, Chronic",,,,"central nervous system diseases|vascular diseases|craniocerebral trauma|pathologic processes|trauma, nervous system"
"genetic diseases, inborn|hematologic diseases",Hemoglobinopathies,,,,"genetic diseases, inborn|hematologic diseases"
"hematologic diseases|genetic diseases, inborn",Hemophilia B,Recombinant Blood Products,Blood Clotting Disorders,Hemophilia B,"hematologic diseases|genetic diseases, inborn"
pathologic processes,Hemorrhage,,,,pathologic processes
hematologic diseases,Hemorrhagic Disorders,,,,hematologic diseases
rna virus infections,Hemorrhagic Fever with Renal Syndrome,,,,rna virus infections
rna virus infections,"Hemorrhagic Fevers, Viral",,,,rna virus infections
hematologic diseases|vascular diseases,Hemostatic Disorders,Recombinant Blood Products,Blood Clotting Disorders,Hemostasis,hematologic diseases|vascular diseases
dna virus infections,Hepadnaviridae Infections,,,,dna virus infections
central nervous system diseases|metabolic diseases|liver diseases,Hepatic Encephalopathy,,,,central nervous system diseases|metabolic diseases|liver diseases
liver diseases,Hepatic Insufficiency,,,,liver diseases
liver diseases,Hepatitis,Immunomodulators - Hepatitis,Hepatitis,Hepatitis,liver diseases
"dna virus infections|liver diseases|hepatitis, viral, human",Hepatitis B,Immunomodulators - Hepatitis,Hepatitis,Hepatitis B ,"dna virus infections|liver diseases|hepatitis, viral, human"
"dna virus infections|liver diseases|hepatitis, viral, human","Hepatitis B, Chronic",Immunomodulators - Hepatitis,Hepatitis,Hepatitis B ,"dna virus infections|liver diseases|hepatitis, viral, human"
"rna virus infections|liver diseases|hepatitis, viral, human",Hepatitis C,Other Hepatitis Treatments,Hepatitis,Hepatitis C,"rna virus infections|liver diseases|hepatitis, viral, human"
"rna virus infections|liver diseases|hepatitis, viral, human","Hepatitis C, Chronic",Other Hepatitis Treatments,Hepatitis,Hepatitis C,"rna virus infections|liver diseases|hepatitis, viral, human"
"liver diseases|hepatitis, viral, human|rna virus infections",Hepatitis D,,,,"liver diseases|hepatitis, viral, human|rna virus infections"
alcohol-related disorders|liver diseases,"Hepatitis, Alcoholic",,,,alcohol-related disorders|liver diseases
liver diseases,"Hepatitis, Chronic",Other Hepatitis Treatments,Hepatitis,Hepatitis C,liver diseases
"liver diseases|hepatitis, viral, human","Hepatitis, Viral, Human",NS5A inhibitors,Hepatitis,Hepatitis C virus infection,"liver diseases|hepatitis, viral, human"
neoplasms by histologic type,Hepatoblastoma,,,,neoplasms by histologic type
female urogenital diseases|liver diseases|urologic diseases,Hepatorenal Syndrome,,,,female urogenital diseases|liver diseases|urologic diseases
"vascular diseases|skin diseases|hypersensitivity|genetic diseases, inborn",Hereditary Angioedema Types I and II,,,,"vascular diseases|skin diseases|hypersensitivity|genetic diseases, inborn"
"central nervous system diseases|metabolic diseases|genetic diseases, inborn|demyelinating diseases|neurodegenerative diseases",Hereditary Central Nervous System Demyelinating Diseases,,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn|demyelinating diseases|neurodegenerative diseases"
"genetic diseases, inborn|neurodegenerative diseases","Heredodegenerative Disorders, Nervous System",,,,"genetic diseases, inborn|neurodegenerative diseases"
"pathological conditions, anatomical",Hernia,,,,"pathological conditions, anatomical"
"pathological conditions, anatomical","Hernia, Abdominal",,,,"pathological conditions, anatomical"
"pathological conditions, anatomical","Hernia, Inguinal",,,,"pathological conditions, anatomical"
"dna virus infections|female urogenital diseases|genital diseases, male|sexually transmitted diseases|skin diseases, viral|skin diseases",Herpes Genitalis,,,,"dna virus infections|female urogenital diseases|genital diseases, male|sexually transmitted diseases|skin diseases, viral|skin diseases"
"dna virus infections|skin diseases, viral|mouth diseases|skin diseases|infection",Herpes Labialis,,,,"dna virus infections|skin diseases, viral|mouth diseases|skin diseases|infection"
"dna virus infections|skin diseases, viral|skin diseases|infection",Herpes Simplex,Other Dermatology Products,Other Dermatology Disorders,Herpes simplex infection,"dna virus infections|skin diseases, viral|skin diseases|infection"
dna virus infections,Herpes Zoster,Herpes Treatments,Herpes Infection,Herpes zoster and H simplex,dna virus infections
dna virus infections,Herpesviridae Infections,,,,dna virus infections
neoplasms by histologic type|connective tissue diseases,"Histiocytoma, Malignant Fibrous",,,,neoplasms by histologic type|connective tissue diseases
lymphatic diseases,Histiocytosis,,,,lymphatic diseases
lymphatic diseases|lung diseases,"Histiocytosis, Langerhans-Cell",,,,lymphatic diseases|lung diseases
lymphatic diseases,"Histiocytosis, Non-Langerhans-Cell",,,,lymphatic diseases
gastrointestinal diseases|rna virus infections|sexually transmitted diseases|immunologic deficiency syndromes,HIV Enteropathy,Other HIV Treatments,HIV,HIV,gastrointestinal diseases|rna virus infections|sexually transmitted diseases|immunologic deficiency syndromes
rna virus infections|sexually transmitted diseases|immunologic deficiency syndromes,HIV Infections,Other HIV Treatments,HIV,HIV,rna virus infections|sexually transmitted diseases|immunologic deficiency syndromes
neoplasms by histologic type|lymphatic diseases|immunoproliferative disorders,Hodgkin Disease,Immune Receptor-targeted Agents,Biologics,Hodgkin's Lymphoma,neoplasms by histologic type|lymphatic diseases|immunoproliferative disorders
signs and symptoms,Hot Flashes,,,,signs and symptoms
"central nervous system diseases|neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders|genetic diseases, inborn|neurodegenerative diseases",Huntington Disease,Huntingtons Disease Treatments,Huntington's Disease,Huntington's Disease,"central nervous system diseases|neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders|genetic diseases, inborn|neurodegenerative diseases"
metabolic diseases,Hypercholesterolemia,Other Lipid-modifying Agents,Lipid Disorders,Hypercholesterolemia,metabolic diseases
hematologic diseases,Hypereosinophilic Syndrome,,,,hematologic diseases
skin diseases,Hyperhidrosis,,,,skin diseases
metabolic diseases,Hyperinsulinism,,,,metabolic diseases
metabolic diseases,Hyperlipidemias,Other Lipid-modifying Agents,Lipid Disorders,Hyperlipoproteinemia ,metabolic diseases
"metabolic diseases|genetic diseases, inborn",Hyperlipoproteinemia Type I,Other Lipid-modifying Agents,Lipid Disorders,Hyperlipoproteinemia ,"metabolic diseases|genetic diseases, inborn"
"metabolic diseases|genetic diseases, inborn",Hyperlipoproteinemia Type II,Other Lipid-modifying Agents,Lipid Disorders,Hyperlipoproteinemia ,"metabolic diseases|genetic diseases, inborn"
metabolic diseases,Hyperlipoproteinemias,Other Lipid-modifying Agents,Lipid Disorders,Hyperlipoproteinemia ,metabolic diseases
female urogenital diseases|urologic diseases,Hyperoxaluria,,,,female urogenital diseases|urologic diseases
parathyroid diseases,Hyperparathyroidism,,,,parathyroid diseases
parathyroid diseases,"Hyperparathyroidism, Primary",,,,parathyroid diseases
parathyroid diseases,"Hyperparathyroidism, Secondary",,,,parathyroid diseases
metabolic diseases,Hyperphosphatemia,Phosphate Regulators,Renal Disorders,Hyperphosphatemia ,metabolic diseases
central nervous system diseases|pituitary diseases,Hyperpituitarism,,,,central nervous system diseases|pituitary diseases
pathologic processes,Hyperplasia,,,,pathologic processes
hypersensitivity,Hypersensitivity,,,,hypersensitivity
hypersensitivity,"Hypersensitivity, Immediate",,,,hypersensitivity
vascular diseases,Hypertension,Other Anti-hypertensives,Hypertension,Hypertension,vascular diseases
vascular diseases|pregnancy complications,"Hypertension, Pregnancy-Induced",Other Anti-hypertensives,Hypertension,Hypertension,vascular diseases|pregnancy complications
lung diseases,"Hypertension, Pulmonary",Other Anti-hypertensives,Hypertension,Hypertension,lung diseases
female urogenital diseases|vascular diseases|urologic diseases,"Hypertension, Renal",Other Anti-hypertensives,Hypertension,Hypertension,female urogenital diseases|vascular diseases|urologic diseases
