drug_class_name,drug_group_name,indication
Thrombocytopenia Agents,Thrombocytopenia,Immune Thrombocytopenic Purpura
Other MS Treatments,Multiple Sclerosis,Improving walking speed in MS patients
Pediatric Vaccines,Vaccine Products,infant diarhhea prevention
Immunomodulators - IBD,Inflammatory Bowel Disease,inflammatory bowel disease
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,inflammatory disease
Respiratory Virus Treatments,Respiratory Virus Infection,Influenza
Influenza Vaccines,Vaccine Products,Influenza
Other Anti-viral Agents,Other Viral Infections,Influenza A
Influenza Vaccines,Vaccine Products,influenza prevention
Respiratory Virus Treatments,Respiratory Virus Infection,Influenza treatment
Influenza Vaccines,Vaccine Products,influenza vaccine
Other Anti-viral Agents,Other Viral Infections,Influenza virus infection
Hypnotics,Sleep Disorders,Insomnia
Anti-platelets,Thrombosis,Intermittent claudication
Azoles,Fungal Infection,invasive fungal infections
Polyenes,Fungal Infection,invasive fungal infections
Other Vaccines,Vaccine Products,invasive meningitis
Other Anemia Treatments,Anemia,Iron Deficiency Anemia
Other Anemia Treatments,Anemia,Iron Deficiency Anemia in Morbus Crohn / Colitis Ulcerosa
Iron Chelators,Iron Overload,Iron Overload
Other Anemia Treatments,Anemia,Iron-deficiency Anemia
Other Cardiology Agents,Other Cardiovascular Disorders,Ischemic stroke 
Travel Vaccines,Vaccine Products,Japanese encephalitis
Other Nephrology Treatments,Renal Disorders,Kidney Sclerosis
Other Musculoskeletal,Other Musculoskeletal Disorders,Lambert-Eaton myasthenic syndrome
Other Lipid-modifying Agents,Lipid Disorders,Lipid disorders
Statins,Lipid Disorders,Lipid disorders
Other Endocrinology Agents,Other Endocrinology Disorders,Lipid storage disorders
Growth Hormone-related Treatments,Growth Hormone Disorders,Lipodystrophy in HIV Patients
Other Lower GI,Other Lower GI Disorders,Liver Biliary Cirrhosis
Other Lower GI,Other Lower GI Disorders,Liver Disease
Other Lower GI,Other Lower GI Disorders,Liver Fibrosis
Other Vaccines,Vaccine Products,LRT disease caused by RSV
Other Rheumatic Disease Agents,Rheumatic Diseases,Lupus
Other Rheumatic Disease Agents,Rheumatic Diseases,Lupus nephritis
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Lysosomal Acid Lipase (LAL) Deficiency
Other Neurology,Other Neurological Disorders,M̩ni̬re's Disease
Other Asthma Agents,Asthma & COPD,MAb against TSLP for asthma
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Macular Edema
Other Antibiotics,Bacterial Infection,Malaria
Travel Vaccines,Vaccine Products,Malaria
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Maroteaux-Lamy Syndrome
Pediatric Vaccines,Vaccine Products,measles / rubella
Pediatric Vaccines,Vaccine Products,measles / rubella vaccine
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Medullary Thyroid Cancer
Angiogenesis Inhibitors (Biologics),Biologics,Melanoma
Immunomodulators - Oncology (Biologics),Biologics,Melanoma
Other Targeted Biologics,Biologics,Melanoma
Other Cytotoxics,Cytotoxics,Melanoma
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Melanoma
BRAF/MEK Inhibitors,Targeted Small Molecules,Melanoma
Other Targeted Small Molecules,Targeted Small Molecules,Melanoma
BRAF/MEK Inhibitors,Targeted Small Molecules,Melanoma   
Other Vaccines,Vaccine Products,Meningococcal B
Other Vaccines,Vaccine Products,Meningococcal disease (ABCYW)
Other Vaccines,Vaccine Products,meningococcus
Other Vaccines,Vaccine Products,meningococcus ACYW135
Other Vaccines,Vaccine Products,meningococcus CY and Hib
Menopausal Treatments,Menopausal Symptoms,Menopausal symptoms
Other Womens Health,Other Women's Health Disorders,Menorrhagia
Other Targeted Biologics,Biologics,Mesothelioma
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Metachromatic Leukodystrophy
Other Targeted Biologics,Biologics,Metastatic breast cancer
Other Migraine Treatments,Migraine,Migraine
Triptans,Migraine,Migraine
Other Migraine Treatments,Migraine,Migraine Prevention
Other Endocrinology Agents,Other Endocrinology Disorders,Molybdenum cofactor deficiency
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Morquio A Syndrome
Beta-lactams / Beta-lactamase Inhibitors,Bacterial Infection,MRSA
Cephalosporins,Bacterial Infection,MRSA
Other Antibiotics,Bacterial Infection,MRSA SSSI and BSI
Other MS Treatments,Multiple Sclerosis,MS-associated bladder dysfunction
Immunomodulators - Oncology (Biologics),Biologics,Multicentric Castleman�۪s Disease
Immune Receptor-targeted Agents,Biologics,Multiple Myeloma
Immunomodulators - Oncology (Biologics),Biologics,Multiple Myeloma
Other Targeted Biologics,Biologics,Multiple Myeloma
Anti-neoplastic Antibiotics,Cytotoxics,Multiple Myeloma
Microtubule Modulators,Cytotoxics,Multiple Myeloma
Immunomodulators - Oncology (Small-molecule),Targeted Small Molecules,Multiple Myeloma
Other Targeted Small Molecules,Targeted Small Molecules,Multiple Myeloma
Proteasome Inhibitors,Targeted Small Molecules,Multiple Myeloma
Immunomodulators - MS,Multiple Sclerosis,Multiple Sclerosis
Other MS Treatments,Multiple Sclerosis,Multiple Sclerosis adjunct therapy
Other MS Treatments,Multiple Sclerosis,Multiple Sclerosis adjunctive therapy
Other Supportive Care,Other Supportive Care,Muscle Atrophy
Other Muscle Relaxants,Muscle Spasticity,Muscle Relaxant
Neurotoxins,Muscle Spasticity,Muscle Spasms
Other Muscle Relaxants,Muscle Spasticity,Muscle Spasms
Other Musculoskeletal,Other Musculoskeletal Disorders,muscle wasting
Anti-metabolites,Cytotoxics,Myelodysplastic Syndrome
Other Targeted Small Molecules,Targeted Small Molecules,Myelodysplastic Syndrome
ESAs (Oncology),Anemia (Oncology),Myelodysplastic syndromes
Other Targeted Biologics,Biologics,Myelofibrosis
Other Targeted Small Molecules,Targeted Small Molecules,Myelofibrosis
Anti-platelets,Thrombosis,myocardial infarction 
Other Endocrinology Agents,Other Endocrinology Disorders,NAGS Deficiency
Anti-platelets,Thrombosis,Nephorosclerosis
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Nephropathic Cystinosis
Other Hormonal Agents,Hormonals,Neuroendocrine Tumors
Other Neurology,Other Neurological Disorders,Neurological disorders
Other Musculoskeletal,Other Musculoskeletal Disorders,Neuromuscular Blocking Agent Reversal
Other Neurology,Other Neurological Disorders,Neuromyelitis optica
Neuropathic Pain,Pain,Neuropathic Pain
G-CSFs,Neutropenia,Neutropenia
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Niemann-Pick Type B
Other Incontinence Treatments,Incontinence,Nocturia
Other Lower GI,Other Lower GI Disorders,non-alcoholic steatohepatitis
Immune Receptor-targeted Agents,Biologics,Non-Hodgkin's Lymphoma
Alkylating Agents,Cytotoxics,Non-Hodgkin's Lymphoma
Anti-neoplastic Antibiotics,Cytotoxics,Non-Hodgkin's Lymphoma
Other Targeted Small Molecules,Targeted Small Molecules,Non-Hodgkin's Lymphoma
EGF Pathway Inhibitors (Biologics),Biologics,Non-small-cell Lung Cancer
Immunomodulators - Oncology (Biologics),Biologics,Non-small-cell Lung Cancer
Other Targeted Biologics,Biologics,Non-small-cell Lung Cancer
Anti-metabolites,Cytotoxics,Non-small-cell Lung Cancer
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Non-small-cell Lung Cancer
BRAF/MEK Inhibitors,Targeted Small Molecules,Non-small-cell Lung Cancer
EGF Pathway Inhibitors (Small-molecule),Targeted Small Molecules,Non-small-cell Lung Cancer
Other Targeted Small Molecules,Targeted Small Molecules,Non-small-cell Lung Cancer
Cephalosporins,Bacterial Infection,Nosocomial Pneumonia / CAP
Obesity Treatments,Obesity,Obesity
Other Psychiatry,Other Psychiatric Disorders,Obsessive Compulsive Disorder
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Ocular Cystinosis
Azoles,Fungal Infection,Onychomycosis
Other Anti-fungals,Fungal Infection,Onychomycosis
Other Addiction Treatments,Addictions,Opiate Dependence
Other Addiction Treatments,Addictions,Opioid Addiction
Other Addiction Treatments,Addictions,Opioid dependence
Bowel Dysfunction Treatments,Motility Disorders,Opioid-induced Constipation
Other Supportive Care,Other Supportive Care,Oral Mucositis
NSAIDs,Pain,Osteoarthritis
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Osteoarthritis
Other Rheumatic Disease Agents,Rheumatic Diseases,Osteoarthritis
NSAIDs,Pain,Osteoarthritis Pain
Other Pain,Pain,Osteoarthritis pain
Other Rheumatic Disease Agents,Rheumatic Diseases,Osteoarthritis pain
Other Osteoporosis Treatments,Osteoporosis,Osteopenia
Bisphosphonates (ex-Oncology),Osteoporosis,Osteoporosis
Hormonal Osteoporosis Treatments,Osteoporosis,Osteoporosis
Other Osteoporosis Treatments,Osteoporosis,Osteoporosis
Bisphosphonates (ex-Oncology),Osteoporosis,Osteoporosis 
Hormonal Osteoporosis Treatments,Osteoporosis,Osteoporosis 
Other Osteoporosis Treatments,Osteoporosis,Osteoporosis 
Anti-metabolites,Cytotoxics,Osteosarcoma
Immunomodulators - Oncology (Small-molecule),Targeted Small Molecules,Osteosarcoma
Other Antibiotics,Bacterial Infection,Otitis
Angiogenesis Inhibitors (Biologics),Biologics,Ovarian Cancer
Other Targeted Biologics,Biologics,Ovarian Cancer
Alkylating Agents,Cytotoxics,Ovarian Cancer
Anti-neoplastic Antibiotics,Cytotoxics,Ovarian Cancer
Microtubule Modulators,Cytotoxics,Ovarian Cancer
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Ovarian cancer
Other Targeted Small Molecules,Targeted Small Molecules,Ovarian Cancer
Other Targeted Biologics,Biologics,Ovarian cancer 
Anti-muscarinics,Incontinence,Overactive bladder
Beta-3 Agonists,Incontinence,Overactive bladder
Other Incontinence Treatments,Incontinence,Overactive bladder
Other Incontinence Treatments,Incontinence,Overactive bladder (nocturia)
Pediatric Vaccines,Vaccine Products,Paediatric Meningitis
Pediatric Vaccines,Vaccine Products,Paediatric Meningitis & Pneumonia
Neuropathic Pain,Pain,Pain
NSAIDs,Pain,Pain
Opioid Analgesics,Pain,Pain
Other Pain,Pain,Pain
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Pain and inflammation associated with cataract surgery
Neuropathic Pain,Pain,Painful Diabetic Neuropathy
Other Targeted Biologics,Biologics,Pancreatic Cancer
Alkylating Agents,Cytotoxics,Pancreatic Cancer
Anti-neoplastic Antibiotics,Cytotoxics,Pancreatic Cancer
Other Targeted Small Molecules,Targeted Small Molecules,Pancreatic Cancer
Other Lower GI,Other Lower GI Disorders,Pancreatic Insufficiency
Influenza Vaccines,Vaccine Products,pandemic influenza
Influenza Vaccines,Vaccine Products,pandemic influenza prevention
COMT inhibitors,Parkinson's Disease,Parkinson's Disease
Dopaminergics,Parkinson's Disease,Parkinson's Disease
Other PD treatments,Parkinson's Disease,Parkinson's disease
Other Psychiatry,Other Psychiatric Disorders,Parkinson's Disease Psychosis
Other Hematology Products,Other Hematological Disorders,Paroxysmal nocturnal hemoglobinuria
Huntingtons Disease Treatments,Huntington's Disease,PDE4 inhibitor for Huntington's Disease 
Immunomodulators - Psoriasis,Psoriasis,PDE4 inhibitor for psoriasis and atopic dermatitis
Other Lower GI,Other Lower GI Disorders,Perianal Fistula
Other Cardiology Agents,Other Cardiovascular Disorders,Peripheral Arterial Disease
Neuropathic Pain,Pain,Peripheral Neuropathy
Anti-metabolites,Cytotoxics,Peripheral T-cell Lymphoma
Other Cytotoxics,Cytotoxics,Peripheral T-cell Lymphoma
Other Targeted Small Molecules,Targeted Small Molecules,Peripheral T-cell Lymphoma
Other Cardiology Agents,Other Cardiovascular Disorders,Peripheral vascular disease
Other Mens Health,Other Men's Health Disorders,Peyronie's Disease
Other Endocrinology Agents,Other Endocrinology Disorders,Phenylketonuria
Other Endocrinology Agents,Other Endocrinology Disorders,Phenylketonuria 
Other Vaccines,Vaccine Products,pneumococcal vaccine
Pediatric Vaccines,Vaccine Products,pneumococcal vaccine
Pediatric Vaccines,Vaccine Products,Pneumococcus
Other Nephrology Treatments,Renal Disorders,Polycystic Kidney Disease
Other Endocrinology Agents,Other Endocrinology Disorders,Polycystic ovarian syndrome
Other Supportive Care,Other Supportive Care,Polycythemia Vera
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Pompe Disease
Neuropathic Pain,Pain,Post-herpetic Neuralgia
Bowel Dysfunction Treatments,Motility Disorders,Post-operative Ileus
Other Pain,Pain,Post-operative Pain
Other Musculoskeletal,Other Musculoskeletal Disorders,Post-orthopedic surgery rehabilitation
Hormonal Osteoporosis Treatments,Osteoporosis,Postmenopausal osteoporosis
Other Womens Health,Other Women's Health Disorders,Pre-term labor
Other Mens Health,Other Men's Health Disorders,Premature ejaculation
Other Antibiotics,Bacterial Infection,prevention and treatment of serious bacterial infections
Bone-resorption Inhibitors,Other Supportive Care,Prevention Of Bone Metastases
Other Vaccines,Vaccine Products,Prevention of cervical cancer
Bone-resorption Inhibitors,Other Supportive Care,Prevention of Chemotherapy-induced Bone Loss
Influenza Vaccines,Vaccine Products,prevention of influenza
Pediatric Vaccines,Vaccine Products,prevention of otitis media and invasive disease caused by Strep pneumoniae
Other Vaccines,Vaccine Products,prevention of rotavirus infection and disease
Recombinant Blood Products,Blood Clotting Disorders,Prevention of Thromboembolic Events
Other Supportive Care,Other Supportive Care,Prevention of urothelial toxicity 
Other Lower GI,Other Lower GI Disorders,Primary Biliary Cirrhosis
Other Vaccines,Vaccine Products,prophylaxis of HPV
Other Vaccines,Vaccine Products,Prophylaxis of pertussis diphtheria tetanus poliomyelitis
Angiogenesis Inhibitors (Biologics),Biologics,Prostate Cancer
Immunomodulators - Oncology (Biologics),Biologics,Prostate Cancer
Other Targeted Biologics,Biologics,Prostate Cancer
Microtubule Modulators,Cytotoxics,Prostate Cancer
Anti-androgens,Hormonals,Prostate Cancer
LHRH Analogs,Hormonals,Prostate Cancer
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Prostate Cancer
Other Targeted Small Molecules,Targeted Small Molecules,Prostate Cancer
Other Mens Health,Other Men's Health Disorders,Prostatitis
Other Vaccines,Vaccine Products,Pseudmonas aeruginosa
Other Psychiatry,Other Psychiatric Disorders,Pseudobulbar affect
Other Vaccines,Vaccine Products,Pseudomonas aeruginosa
Other Antibiotics,Bacterial Infection,Pseudomonas aeruginosa infections
Other Antibiotics,Bacterial Infection,Pseudomonas infections
Topical Immunomodulators,Atopic Dermatitis,Psoriasis
Immunomodulators - Psoriasis,Psoriasis,Psoriasis
Other Psoriasis Treatments,Psoriasis,Psoriasis
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,psoriatic arthritis
Pulmonary Fibrosis Treatments,Pulmonary Fibrosis,Pulmonary Fibrosis
Pulmonary Hypertension Treatments,Hypertension,Pulmonary Hypertension
Pulmonary Hypertension Treatments,Hypertension,Pulmonary hypertension 
Quinolones,Bacterial Infection,Pulmonary Infections In Cystic Fibrosis Patients
Other Vaccines,Vaccine Products,rabies prophylaxis
Other Allergic Rhinitis Treatments,Allergic Rhinitis,Ragweed Allergy
ESAs,Anemia,Renal Anemia
Other Anemia Treatments,Anemia,Renal Anemia
Immunomodulators - Oncology (Biologics),Biologics,Renal Cancer
Immunomodulators - Oncology (Biologics),Biologics,Renal Cell Carcinoma
Other Targeted Biologics,Biologics,Renal Cell Carcinoma
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Renal Cell Carcinoma
Other Targeted Small Molecules,Targeted Small Molecules,Renal Cell Carcinoma
Acute / Chronic Renal Disorder Treatments,Renal Disorders,Renal Disease
Other Cardiology Agents,Other Cardiovascular Disorders,Reperfusion Injury
Quinolones,Bacterial Infection,Respiratory and urinary tract infections
Other Respiratory Agents,Other Respiratory Disorders,Respiratory Distress Syndrome
Other Neurology,Other Neurological Disorders,Restless Legs Syndrome
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinal Vein Occlusion
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinopathy of Prematurity
Recombinant Blood Products,Blood Clotting Disorders,Reversal of vitamin K antagonist in surgery
NSAIDs,Pain,Rheumatoid & Osteoarthritis
NSAIDs,Pain,Rheumatoid Arthritis
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Rheumatoid Arthritis
Other Rheumatic Disease Agents,Rheumatic Diseases,Rheumatoid arthritis
Other Dermatology Products,Other Dermatology Disorders,Rosacea
Pediatric Vaccines,Vaccine Products,Rotavirus
Pediatric Vaccines,Vaccine Products,rotavirus gastroenteritis
Respiratory Virus Treatments,Respiratory Virus Infection,RSV
Respiratory Virus Treatments,Respiratory Virus Infection,RSV prevention
Respiratory Virus Treatments,Respiratory Virus Infection,RSV treatment
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Sanfilippo A Syndrome
Alkylating Agents,Cytotoxics,Sarcoma
Atypical Anti-psychotics,Schizophrenia,Schizophrenia
Other Anti-psychotics,Schizophrenia,Schizophrenia
Other Dermatology Products,Other Dermatology Disorders,Scleroderma
Influenza Vaccines,Vaccine Products,Seasonal influenza
Influenza Vaccines,Vaccine Products,seasonal influenza prevention
Influenza Vaccines,Vaccine Products,seasonal influenza vaccine
Parathyroid Disorder Treatments,Parathyroid Disorders,Secondary hyperparathyroidism
Parathyroid Disorder Treatments,Parathyroid Disorders,Secondary Hyperparathyroidism in CKD
Other Lipid-modifying Agents,Lipid Disorders,Secondary prevention of cardiac events
Other Risk Factor Treatments,Other Cardiovascular Disorders,Secondary prevention of cardiac events
Anti-platelets,Thrombosis,Secondary Prevention of Cardiac Events
Other Antibiotics,Bacterial Infection,Sepsis
Beta-lactams / Beta-lactamase Inhibitors,Bacterial Infection,serious bacterial  infections
Other Antibiotics,Bacterial Infection,Serious bacterial infections
Acne Treatments,Acne,Severe acne
Somatostatin Analogs,Hormonals,Severe Diarrhea Associated With Metastatic Carcinoid Tumors
Growth Hormone-related Treatments,Growth Hormone Disorders,Severe Primary IGF-1 Deficiency
Other Antibiotics,Bacterial Infection,Severe sepsis
Herpes Treatments,Herpes Infection,shingles
Bowel Dysfunction Treatments,Motility Disorders,Short Bowel Syndrome
Other Anemia Treatments,Anemia,Sickle Cell Anemia
Other Anemia Treatments,Anemia,Sickle cell disease
Other Antibiotics,Bacterial Infection,skin infections due to Staph aureus
Hypnotics,Sleep Disorders,Sleep Disorder
Anti-neoplastic Antibiotics,Cytotoxics,Small-cell Lung Cancer
Smoking Cessation Agents,Addictions,Smoking Cessation
Other Vaccines,Vaccine Products,Smoking Cessation
Alkylating Agents,Cytotoxics,Soft Tissue Sarcoma
Anti-neoplastic Antibiotics,Cytotoxics,Soft Tissue Sarcoma
BRAF/MEK Inhibitors,Targeted Small Molecules,Solid Tumor
Angiogenesis Inhibitors (Biologics),Biologics,Solid Tumors
EGF Pathway Inhibitors (Biologics),Biologics,Solid tumors
Immunomodulators - Oncology (Biologics),Biologics,Solid tumors
Other Targeted Biologics,Biologics,Solid tumors
Alkylating Agents,Cytotoxics,Solid Tumors
Anti-metabolites,Cytotoxics,Solid Tumors
Anti-neoplastic Antibiotics,Cytotoxics,Solid Tumors
Microtubule Modulators,Cytotoxics,Solid Tumors
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Solid Tumors
BRAF/MEK Inhibitors,Targeted Small Molecules,Solid Tumors
EGF Pathway Inhibitors (Small-molecule),Targeted Small Molecules,Solid tumors
Immunomodulators - Oncology (Small-molecule),Targeted Small Molecules,Solid Tumors
Other Targeted Small Molecules,Targeted Small Molecules,Solid Tumors
Other Targeted Biologics,Biologics,Solid tumors 
Other Targeted Small Molecules,Targeted Small Molecules,Solid tumors and Lymphoma
Other Neurology,Other Neurological Disorders,Spinal cord injury
Other Musculoskeletal,Other Musculoskeletal Disorders,Spinal Muscular Atrophy
Other Neurology,Other Neurological Disorders,Spinocerebellar Degeneration
Other Musculoskeletal,Other Musculoskeletal Disorders,Sporadic Inclusion Body Myositis
Other Antibiotics,Bacterial Infection,Staph aureus BSI
Other Vaccines,Vaccine Products,Staph aureus infection
Other Antibiotics,Bacterial Infection,Staphylococcus aureas infection
Other Vaccines,Vaccine Products,Staphylococcus Aureus Prophylaxis
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Stargardt Disease
Other Supportive Care,Other Supportive Care,Stem Cell Mobilization
Other Supportive Care,Other Supportive Care,Stem Cell Transplant
Other Supportive Care,Other Supportive Care,Stem Cell Transplant Conditioning
Other Endocrinology Agents,Other Endocrinology Disorders,Steroid Hormone Replacement Therapy
Other Vaccines,Vaccine Products,Strep pneumoniae
Pediatric Vaccines,Vaccine Products,Streptococcus B
Other Incontinence Treatments,Incontinence,Stress urinary incontinence
Thrombolytics,Thrombosis,Stroke
Stroke Recovery Agents,Stroke Recovery,Stroke Recovery
Other Psychiatry,Other Psychiatric Disorders,Suicidal ideation
Recombinant Blood Products,Blood Clotting Disorders,Surgical Hemostasis
Other Antibiotics,Bacterial Infection,Symptomatic Anthrax infection
5-Alpha Reductase Inhibitors,Benign Prostatic Hyperplasia,Symptoms associated with BPH
Alpha Blockers,Benign Prostatic Hyperplasia,Symptoms associated with BPH
Other BPH Treatments,Benign Prostatic Hyperplasia,Symptoms associated with BPH
Other Respiratory Agents,Other Respiratory Disorders,Systemic Inflammatory Response Syndrome
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Systemic lupus erthymatosis
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Systemic lupus erythematosus
Other Rheumatic Disease Agents,Rheumatic Diseases,Systemic Lupus Erythematosus
Other Dermatology Products,Other Dermatology Disorders,Systemic sclerosis
Immune Receptor-targeted Agents,Biologics,T-cell Lymphoma
Other Targeted Biologics,Biologics,T-cell Lymphoma
Beta-blockers,Hypertension,Tachycardia
Other Neurology,Other Neurological Disorders,Tardive Dyskinesia
Other Cardiology Agents,Other Cardiovascular Disorders,Thromboangiitis obliterans 
Other Supportive Care,Other Supportive Care,Thrombocythemia 
Other Supportive Care,Other Supportive Care,Thrombocytopenia
Anti-coagulants,Thrombosis,Thrombosis
Anti-platelets,Thrombosis,Thrombosis
Thrombolytics,Thrombosis,Thrombosis
Thrombocytopenia Agents,Thrombocytopenia,Thrombotic Thrombocytopenic Purpura
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Thyroid Cancer
Immunomodulators - IBD,Inflammatory Bowel Disease,TNF inhibitor for Ulcerative Colitis
Immunomodulators - Transplant,Transplant Products,Transplant
Immunomodulators - Transplant,Transplant Products,Transplant Rejection
Other Hematology Products,Other Hematological Disorders,Trauma/Bleeding
Other Neurology,Other Neurological Disorders,TTR Amyloidosis
Other Antibiotics,Bacterial Infection,Tuberculosis
Other Vaccines,Vaccine Products,Tuberculosis
Other Vaccines,Vaccine Products,Tuberculosis 
Other Diabetes Agents,Diabetes,Type 1 diabetes
Insulins,Diabetes,Type 2 diabetes
Insulins,Diabetes,Type I and II Diabetes
GLP-1 Analogs,Diabetes,Type I Diabetes
Other Diabetes Agents,Diabetes,Type I Diabetes
AGIs,Diabetes,Type II Diabetes
Biguanides,Diabetes,Type II Diabetes
DPP-IV Inhibitors,Diabetes,Type II Diabetes
GLP-1 Analogs,Diabetes,Type II Diabetes
Insulins,Diabetes,Type II Diabetes
Other Diabetes Agents,Diabetes,Type II Diabetes
PPAR Modulators,Diabetes,Type II Diabetes
SGLT Inhibitors,Diabetes,Type II Diabetes
Sulphonylureas,Diabetes,Type II Diabetes
Other Diabetes Agents,Diabetes,Type II Diabetics with high CV risk
Immunomodulators - IBD,Inflammatory Bowel Disease,Ulcerative Colitis
Other IBD Treatments,Inflammatory Bowel Disease,ulcerative colitis
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Usher Syndrome
Oxazolidinones,Bacterial Infection,uSSSI and CAP
Other Womens Health,Other Women's Health Disorders,Uterine fibroids
Other Womens Health,Other Women's Health Disorders,Uterine fibroids 
Corneal & External Eye Treatments,Corneal & External Eye Diseases,Uveitis
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Uveitis
Menopausal Treatments,Menopausal Symptoms,Vaginal atrophy
Angiogenesis Inhibitors (Biologics),Biologics,Various Cancer Types
Immune Receptor-targeted Agents,Biologics,Various Cancer Types
Immunomodulators - Oncology (Biologics),Biologics,Various Cancer Types
Other Targeted Biologics,Biologics,Various Cancer Types
Other Targeted Small Molecules,Targeted Small Molecules,Various Cancer Types
Angiogenesis Inhibitors (Biologics),Biologics,Various Malignancies
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Various Malignancies
Other Targeted Small Molecules,Targeted Small Molecules,Various Malignancies
Topical Immunomodulators,Atopic Dermatitis,Various skin disorders
Anti-coagulants,Thrombosis,Venous Thromboembolism
Class III Anti-arrhythmics,Arrhythmias,Ventricular arrythmia
Other Endocrinology Agents,Other Endocrinology Disorders,Vitamin B Deficiency
Other Endocrinology Agents,Other Endocrinology Disorders,Vitamin E Deficiency in Cholestasis
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Vitreomacular Adhesion
Recombinant Blood Products,Blood Clotting Disorders,Von Willebrand Disease
Wet AMD Treatments,AMD,Wet AMD
Other Alzheimers Disease Agents,Alzheimer's Disease,
Class Ic Anti-arrhythmics,Arrhythmias,
Class III Anti-arrhythmics,Arrhythmias,
Beta-lactams / Beta-lactamase Inhibitors,Bacterial Infection,
Cephalosporins,Bacterial Infection,
Macrolides,Bacterial Infection,
Other Antibiotics,Bacterial Infection,
Oxazolidinones,Bacterial Infection,
Penems,Bacterial Infection,
Penicillins,Bacterial Infection,
Quinolones,Bacterial Infection,
Recombinant Blood Products,Blood Clotting Disorders,
Alkylating Agents,Cytotoxics,
Azoles,Fungal Infection,
Echinocandins,Fungal Infection,
Other Anti-fungals,Fungal Infection,
Polyenes,Fungal Infection,
Immunomodulators - Hepatitis,Hepatitis,
Other Hepatitis Treatments,Hepatitis,
NRTIs,HIV,
Protease Inhibitors,HIV,
ACE Inhibitors,Hypertension,
Angiotensin II Antagonists,Hypertension,
Calcium Antagonists,Hypertension,
Other Anti-hypertensives,Hypertension,
Fibrates,Lipid Disorders,
Other Lipid-modifying Agents,Lipid Disorders,
Statins,Lipid Disorders,
Other Cardiology Agents,Other Cardiovascular Disorders,
Other Neurology,Other Neurological Disorders,
Other Pain,Pain,
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,
Other Targeted Small Molecules,Targeted Small Molecules,
Anti-coagulants,Thrombosis,
Anti-platelets,Thrombosis,
Thrombolytics,Thrombosis,
Immunomodulators - Transplant,Transplant Products,
Hepatitis Vaccines,Vaccine Products,
Other Vaccines,Vaccine Products,
Pediatric Vaccines,Vaccine Products,
Travel Vaccines,Vaccine Products,
